,Company_Name,Location,Job_Title,Job_Description,Salary_Estimate,Rating,Size,Founded,Type,Sector,Industry,Revenue,jd_python,jd_r,jd_sql,jd_nosql,jd_mongo,jd_tableau,jd_bi,jd_panda,jd_numpy,jd_spss,jd_stats,jd_excel,jd_ml,jd_ds,Rank,Min_Salary,Max_Salary,Rate,Min_Size,Max_Size,Duration,IsPrivate
0,AlsonMedia Sdn Bhd,Kuala Lumpur,Senior Data Analyst,"AlsonMedia is looking for talented Data Analyst to join our team.
The role should have a solid understanding of how to analyze large data from both user behavior and technical side.
Qualified candidate has to be someone who is very data-driven and possesses strong analytical skills so as to provide useful insights from the data.
Responsibilities:
Research on major email providers: Gmail, Yahoo, Hotmail, and AOL to understand their requirements for high volume sending.
Optimize delivery strategies, data, and content templates.
Analyze delivery results and suggest improvements
Create and execute test cases
Troubleshoot email deliverability issues
Skill Sets Required:
Degree in Computer Science/IT or equivalent
Programming skills: PHP, Python, JavaScript
Database skills: MySQL
Good analytical skills
Like to brainstorm for better solutions
Similar experience is a plus
Software Analyst background are encouraged to apply
Job Type: Full-time
Salary: RM8,000.00 - RM12,000.00 per month
Benefits:
Dental insurance
Health insurance
Vision insurance
Work from home
Schedule:
Monday to Friday
Supplemental Pay:
Performance bonus
Yearly bonus
COVID-19 considerations:
Work from home
Education:
Bachelor's (Preferred)
Experience:
PHP: 3 years (Preferred)
Python: 3 years (Preferred)
MySQL: 3 years (Preferred)
Language:
Mandarin (Preferred)
Cantonese (Preferred)",MYR 96K - MYR 144K (Employer est.),-1.0,-1,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,96000.0,144000.0,,,,,
1,"Pop Meals (Farm to Fork Sdn Bhd)",Kuala Lumpur,Process Improvement Analyst (Manager),"Managing the analytics for day-to-day outlet operations and performance in Malaysia.
Manage daily data collection by analysts, insights and reporting across regions’ KPIs.
Support the General Manager with strategies and tactics to achieve KPIs and problem-solve with matters such as operating expenses, recruitment and manpower planning.
Help to optimize recruitment and onboarding across the funnel.
Work closely with the Outlet Operations and Tech team to support the development of tools & apps to automate/optimize processes.
Be involved with moonshot projects to enhance the outlet experience (e.g. expansion, Local Store Marketing strategy, building outlets of the future).
REQUIREMENT
4 to 8 years of working experience. Startup/F&B background will be advantageous.
Builder & hustler: you challenge existing ""best practices"" and build the new industry standard. On past projects you have demonstrated the ability to get your hands dirty and to be highly resourceful.
Problem-solver (analytical & data driven): you are great with people and equally great with numbers to help make business decisions (SQL will be a big bonus).
Biased to action + master in prioritizing: you always focus on tackling the biggest challenges first (both short & long term) without getting distracted with nice-to-haves.
Crystal clear communicator: both spoken and written (languages required: English & Malay).
Job Types: Full-time, Permanent
Salary: RM4,500.00 - RM7,000.00 per month
Benefits:
Health insurance
Maternity leave
Meal allowance
Opportunities for promotion
Parental leave
Professional development
Work from home
Schedule:
Monday to Friday",MYR 54K - MYR 84K (Employer est.),4.2,51 to 200 Employees,2015,Company - Private,"Restaurants, Bars & Food Services",Fast-Food & Quick-Service Restaurants,Unknown / Non-Applicable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,54000.0,84000.0,4.2,51.0,200.0,7.0,1.0
2,"The Center of Applied Data Science",Kuala Lumpur,Junior Data Analyst,"Do you like looking at numbers and figuring out the cause and effect of a trend?
You are the analytical-minded person we are hunting for.
Join us to be part of the data science team, we welcome candidates who thrive to be the front runner of this exciting digital transformation program.
You will be having the opportunity to pivot digital solutions through sophisticated analytics and developments, translating into impactful business decisions. Apart from the technicalities, it is essential to be digital savvy to talk tech and distil it to others in the organization in an easy-to-understand manner.
If you are interested to embark on a rewarding career, data analytics is the right direction.
CADS aims to groom young talents is not limited to teaching “hard skills” such as data science, analytics, and AI (Artificial Intelligence). We also have a Nurture Development Program to ensure our graduates are work-ready, with the mindset and heartset to bring out their best at work.
To date, CADS has produced over 800 graduates from our Data Star Accelerator, many of whom have already been hired by various leading organizations, including Fortune 500 companies. The majority of the candidates are earning RM2,500 and above as their starting salary.
The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training and mentorship with experienced Data Scientists.
Get salary and allowance from industry job placement after the completion of training.
Limited sponsorship opportunities are available for young graduates interested in developing data literacy skills.
Visit https://www.thecads.com/upnm-kpt-cap to submit your applications.
Job Types: Full-time, Permanent, Fresh graduate
Salary: RM2,500.00 - RM4,000.00 per month
Benefits:
Opportunities for promotion
Professional development
Schedule:
Monday to Friday
Supplemental Pay:
Attendance bonus
Performance bonus
Education:
Bachelor's (Preferred)",MYR 30K - MYR 48K (Employer est.),3.9,1 to 50 Employees,2015,Company - Private,Education,Education Training Services,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,30000.0,48000.0,3.9,1.0,50.0,7.0,1.0
3,"AXIATA DIGITAL & ANALYTICS",Kuala Lumpur,Junior Data Analyst,"What you will do?
The team is looking for a Junior Data Analyst who can provide actionable insight through a combination of data visualization, story-telling and analysis. Beyond analyzing data this person will define the analysis scope that the sales team use to pitch for their media clients by developing a deep understanding of client’s business and integrating with consumer insights. This person will also support the ad-operations team in defining the data segments/profiles that will be used to target the right audience on digital advertising platforms.

Conduct quantitative research through statistical analysis in SQL or Python and develop actionable insights
Collaborate with stakeholders in other departments to understand key requirements and translate them into data-driven insights.
Translate technical findings to non-technical audiences, and communicate it using well-designed visualizations using tools such as Tableau, etc.
Ability to attend to tight timeline and multi-tasking.
Perform other responsibilities as required by the organization.

What skills and experience you will need?
Quantitative analysis background with 1-2 years of experience using data to solve problems and effectively answer business most pressing questions.
Fresh graduates from analytical background are welcomed to apply.
SQL/Python experience, querying large and complex data sets and build effective visualizations
Excellent analytical and problem-solving abilities
Knowledge of Tableau and AWS related skills will be added advantages.",-1,4.2,201 to 500 Employees,-1,Company - Public,Telecommunications,"Cable, Internet & Telephone Providers",Unknown / Non-Applicable,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2.0,,,4.2,201.0,500.0,,0.0
4,"Shopee",Kuala Lumpur,Business Intelligence - Data Analyst,"DepartmentData Analytics
LevelEntry Level
LocationMalaysia - Kuala Lumpur
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
About the Team:
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
Job Description:
Establish processes to collect and analyse internal and relevant external data to derive value added observations and insights
Manage and work extensively with large amount of data and providing data-driven insights to support the business teams in executing strategic planning, drive improvements and make sound business decisions
Be the oracle that can spot dangers and pitfalls down the road by monitoring and analysing trends, and taking a critical view of existing business strategy
Setup, maintain and automate reports, dashboards and various business processes required by different stakeholders and the company
Establish processes to identify and keep track of appropriate indicators to monitor performance and progress
Work and collaborate with internal stakeholders to identify and define problem statements and pain points, gather requirements, prioritize and implement sustainable solutions that will meet business needs

Requirements:
Degree in Data Analytics, Information Technology, or any other similar courses
Fresh graduates or candidates with up to 2 years of working experience in data analysis field
Proficiency in Google Sheets / Microsoft Excel and SQL (Structured Query Language) - preferably with at least 1 year of working experience handling medium-big data
Proficiency in Python / R / programming languages is an added advantage
Has experience in liaising and managing different business stakeholders to gather requirements effectively
A logical and systematic thinker with the ability to understand the holistic picture
Able to present ideas and solutions in a structured manner
Able to work and learn independently, and manage time effectively",-1,3.9,5001 to 10000 Employees,2015,Company - Private,Information Technology,Internet,Unknown / Non-Applicable,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,,,3.9,5001.0,10000.0,7.0,1.0
5,"Brandt International Sdn Bhd",Kuala Lumpur,Reporting/Data Analyst - Mar 2022 Intake,"JOB DESCRIPTION
1. Able to understand & Analyze Customer Experience/Contact Centre Key metrics
2. Develop customized report & refine existing report for Operations team.
3. Validate data with stakeholders before implementing new reporting framework.
3. Provide daily, weekly & monthly reports as per operations and client’s requirements.
4. Assist in operational insights development to provide opportunities for continuous improvement of our operations.
5. Implement process to maintain data integrity & accuracy across entire reporting function.
6. Identify & interpret trends based on operations performance report.
7. Work closely with Project Stakeholders to enhance data driven decisions.
8. Identify gaps and impact in Operations performance & support to drive improvements.
9. Manage & deliver reporting/analytics request for various project
10. Cross-Support Real Time Analyst/Work Force Management team where necessary


SKILLS REQUIRED
1. Degree in any field.
2. 2 years’ experience in related field.
3. Analytical skills is required.
3. Intermediate/Advance Microsoft Office skills
4. Experience in Tableau & Salesforce Reporting/Dashboard will be added value
4. Demonstrate problem-solving skills with attention to detail.
5. Communicate effectively in verbal and written formats, including presentation skills and professional writing skills.
6. Can assimilate and apply new techniques and knowledge to deliver insights and solve problems.
7. Able to work independently as well as in a team.
8. Able to work under pressure",MYR 60K (Employer est.),3.7,501 to 1000 Employees,2004,Company - Private,Business Services,Staffing & Outsourcing,Unknown / Non-Applicable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,60000.0,60000.0,3.7,501.0,1000.0,18.0,1.0
6,"RHB Banking Group",Kuala Lumpur,L1 AML Analyst - Investment Bank,"Working Hour
Regular Hours
Monday - Friday
Business Area
Compliance
Location
Malaysia - Kuala Lumpur

Description


Primary Objective:
Identify customers that are associated with Sanctions, PEP and any adverse news. Screen the bank’s customers to ensure/minimize the risk of AML, Sanctions and Bribery and Corruption.
Escalate AML/CFT red flags/concerns on any suspicion over client's activities

Key Responsibilities:
Analyse and investigate customers who match against Sanctions and Non-Sanctions lists during the account opening and maintenance processes.
Conducts searches, gathers data and records evidence from internal systems, the internet, commercial databases and inquiry with business or Compliance contacts within the organization.
Accumulate facts from investigations to be utilized in presentation to Senior Management and Compliance.
Investigate and assess alerts for potential money laundering risks in the Bank.
Ensure efficient identification and monitoring of suspicious names
Ensure timely, efficient reporting of suspicious transactions
Conduct alert investigation using global standard policies, procedures and tools, aimed at meeting internal and external regulatory requirements.
Build and apply knowledge of sanctions and anti-money laundering processes.

Requirements
Requirements:
Bachelor Degree - in a related field.
Positive attitude and self-motivated
Benefits
Dental, Education support, Miscellaneous allowance, Medical, Loans, Sports (e.g. Gym), Parking, Vision, Regular hours, Mondays - Fridays, Casual Business Wear, Performance Based Rewards",-1,3.6,10000+ Employees,-1,Company - Private,Finance,Banks & Credit Unions,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,3.6,10000.0,10000.0,,1.0
7,"Techsap ASP Sdn Bhd",Subang Jaya,Data Analyst (fresh graduates),"Summary
A highly energetic candidate to assist in supporting Commercial and Company-wide performance management aiding management decision making and Commercial initiatives analysis. Obsessed to do, to influence, to partner and ultimately drive delivery of business impact.
Responsibilities:
Performance and optimization dashboard. Develop and manage dashboard, covers both financial and operations to ensure focus on improvement aligned to strategic ambitions.
Reporting model. Assist in reporting model through target setting, forecasting, simulations as well as follow up and deviation analysis
Alignment. Coordinate with stakeholders on execution, convene alignment meetings, consolidate results and work on remediation
Requirements:
1 to 2 years of experience in managing Data, Reports, and Dashboards.
Fresh graduates with internship experience will be considered.
Strong knowledge in Microsoft Excel
Knowledge in SQL Queries is added advantage
Job Types: Full-time, Contract
Contract length: 6 months
Salary: Up to RM2,500.00 per month
Schedule:
Monday to Friday",MYR 30K (Employer est.),3.4,51 to 200 Employees,1994,Company - Private,Information Technology,IT Services,Unknown / Non-Applicable,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0,30000.0,30000.0,3.4,51.0,200.0,28.0,1.0
8,Bioquest Advisory,Kuala Lumpur,Data Analyst,"BioQuest Advisory is at the exciting phase of our growth across APAC region and is looking for talented and dynamic Data Analyst with strong hands-on technical skills to be part of our Asia regional team.
The role
We are a consulting practice, you would be working with our clients to design, create and deploy business analytics. The area of application is wide depending on the industry and function of the use cases. Hence, you would be someone who is creative, good at critical problem solving and articulation of your solutioning to win over the approval of your stakeholders.
In a typical project, you would be working with our client’s functional experts to understand their requirements, data and insights they aspired to derive from the project. You would collaborate widely with not just our clients, but our subject-matter advisor and software partner’s data scientists.
A day in the life of our Data Analysts
· Formulating, outline work-requirements in accordance with client’s needs
· Working with our client’s data team to source and collate data from various entities
· Preparing data pipeline through data cleansing and transformation, would involve data calculations and manipulations
· Selecting and employing statistical procedures to obtain actionable insights and build machine-learning algorithms
· Design and configure dashboards to display output of data analysis
· Staying informed about developments in Data Analytics and adjacent fields to ensure that deliverables are always relevant
Your work-scope is not static but dynamic according to each project’s requirements.
Your profile
· Degree in Computer Science/Data Science, Statistical Mathematics, Engineering, Actuarial Science or any other related discipline
· Proficiency SQL, Python and Data Visualization Tools (Power BI, Tableau, Qlikview etc.)
· Preferably with at least 1 year of working experience in Data Analytics in a consulting environment
· Working experience on Graph Databases would be advantageous
· Exposure to machine learning principles and techniques would be advantageous
· Ability to relay insights in layman's terms, such that these can be used to inform business decisions
· Good communicator with excellent presentation skill, able to think-on-your-feet, have a customer service attitude
· Keen learner in emerging technologies in AI and Analytics
Join Us
At BioQuest, we value collaboration, teamwork and knowledge transfers. Our culture is friendly and supportive with a strong emphasis on ethics, diversity and inclusiveness.
As you grow with our firm, you would be able to leverage on your expertise to help transform our clients’ business and gain experience for your personal professional development. We are committed to providing opportunities and coaching to grow our talents. For exceptional talented contributors, there would be opportunity for fast track progress.
We are an equal opportunity employer.
Job Types: Full-time, Permanent, Contract, Fresh graduate
Salary: RM3,000.00 - RM5,000.00 per month
Schedule:
Monday to Friday
Supplemental Pay:
Performance bonus
Experience:
Machine Learning: 1 year (Preferred)
SQL: 1 year (Preferred)",MYR 36K - MYR 60K (Employer est.),-1.0,1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0.0,36000.0,60000.0,,1.0,50.0,,
9,"Accenture",Kuala Lumpur,Transaction Processing Analyst (IO),"Performs routine business processing transactions, which are non-repetitive and may involve independent thinking, including data-entry in system, issuing policy documents and billing premiums based on set guidelines. Involve analysis and investigation during handling the account.
Review, evaluate, verify and process work for multinational business. This includes calculation of taxes / adjustments, billing premiums and issuing policies to the client.
Communicates, both verbally and/or in writing to Producing Office, Multinational Risk Practitioner, Underwriter or clients to collect information for policy issuances.
Organizes and maintains electronic databases. Performs data input and maintenance.
Review, investigate and rectify all the rework issue if any.
Respond to queries by Clients, Producing Office or Underwriters.
Updates Payments for policies and may have to communicate with other departments such as Finance / Accountings and RISO to obtain updated payment information.
May also function as trainer for other staff.
Review, investigate and rectify all the rework issue if any.
Responds to general client and broker queries via email and calls.
Need to involve with the weekly, monthly call with the business, regional on the outstanding accounts.
Preparing reports as and when required by management
Willing to work on shift according to the region supported inclusive of working during Malaysia holidays.
Fluent in written and oral English communication.

Related bachelor degree",-1,4.0,10000+ Employees,1989,Company - Public,Business Services,Consulting,$10+ billion (USD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,4.0,10000.0,10000.0,33.0,0.0
