Company_Name,Location,Job_Title,Job_Description,Salary_Estimate,Rating,Size,Founded,Type,Sector,Industry,Revenue
"Premium Technology, Inc.",Kuala Lumpur,Business Analyst,"Job Description
Premium Technology Inc. is a supply chain financial software/product development company with headquarters in New York City. We are currently seeking Senior Business Analyst to support our product design team and Asian clients.
Title: Senior Business Analyst
Job Description:
Responsible for the design of Supply Chain Finance systems.
Develops design and functional specifications, produces deliverables related to the project(s) assigned and assists in post implementation support and system enhancements.
Responsible for gathering, compiling and synthesizing requirement with regard to business processes or systems.
Troubleshoot problems in their area of expertise.
Performs other duties as assigned.
Job Requirement:
To qualify you must have a Typically requires 5 or more years of experience and BA/BS degree or equivalent
Experience with creating and maintaining Business Requirement, and Functional Specification Documents
Proficient with MS Office and UML
Demonstrated analytical, problem solving and conceptual skills
Knowledge of Java, SQL and HTML, SDLC on web applications and database development
Fast learner to understand in-depth application capabilities and functional designs with optimization and efficiencies
Fluent in English and Chinese speaking and writing
COVID-19 Precaution(s):
Remote interview process
Work Remotely
Yes
Job Type: Full-time
Pay: From RM10,000.00 per month
Benefits:
Work from home
Schedule:
Monday to Friday
Supplemental Pay:
Yearly bonus",MYR 120K (Employer est.),-1,-1,-1,-1,-1,-1,-1
"tigerlab Sdn Bhd
4.4",Petaling Jaya,Business Analyst,"Responsibilities
Act as the main point of contact on key accounts, juggling various client requests from product roll outs, to optimization as well as general queries.
Help develop client relationships and support existing accounts.
Understand and communicate customer quality and business requirements.
Monitoring the client’s product performance.
Test new product development, give feedback and raise bugs to the engineering team
Actively stay ahead of trends and adapt to new and changing social platforms and products.
Attend and contribute to brainstorming / ideation sessions.
Support and carry out product and user research activities
Create process flow charts and documentation
*
Requirements
Fresh graduates with a Bachelor’s Degree, Post Graduate Diploma, Professional Degree, Science & Technology or equivalent are encouraged to apply and open to learning.
At least 1 year(s) of working experience in the related field is required for this position.
Well versed in using tools like Jira and Scrum (preferred).
Microsoft Office software experience (Outlook, Word, Excel, PowerPoint).
Ability to handle multiple tasks in a fast-paced environment under tight deadlines.
Ability to work independently and collaboratively.
Strong organizational skills.
Strong verbal / written communication skills.
Exhibit enthusiasm, passion, creativity, and commitment.
Excellent eye for detail
Fluent in English (written and verbal)
*
Who we are:
LEADING GLOBAL PROVIDER OF CLOUD-BASED INSURANCE SOFTWARE
Leading provider of cloud-based Insurance Software Solutions
Enabling newest InsurTech trends like IoT, Big Data and Artificial Intelligence
EMPLOYEES
tigerlab currently has 35+ employees across Europe and Asia.
OPPORTUNITIES FOR ADVANCEMENT
We are a fast-growing company that offers career opportunities, and not just “another job”.
We believe in growing our employees and promoting from within, offering many opportunities for professional advancement along the way!
Why you should join us :
Our People – we take pride in our diverse employees of over 10 nationalities who are some of the smartest and most passionate people you will ever meet
You like to pursue your hobbies and spend time with your family? – we have flexible working hours and opportunities to Work From Home
Be part of a fast growing SME where our jobs are sustainable AND you will be able to make real contributions and impact to the insure-tech industry
Have a brilliant idea you would like to share with us? We have an open door policy and our employees have their own platform to provide feedback, ideas, opinions
You have the opportunity to bring in new ideas and concepts to move forward one of the oldest and largest industries with the aim of becoming one of the worlds best insurance software company
We provide Macbooks for all our employees, besides who wouldn’t want a Macbook ?
We pay a competitive salary and we also recognize and reward achievements – Employee of The Month programs and more. Let’s strive together to achieve excellence!
Never worry about accessibility as our office is connected to the MRT and you will be spoilt for choices of food as 1 Utama shopping mall is only a 10 mins walk away.
Hope you love the smell of coffee brewing in the mornings coz we have free-flow of coffee for all you coffee lovers!
Find out more:
Please visit www.tigerlab.com
Job Type: Full-time
Salary: RM3,500.00 - RM5,000.00 per month
Schedule:
Monday to Friday",MYR 42K - MYR 60K (Employer est.),4.4,1 to 50 Employees,2008,Company - Private,Information Technology,Computer Hardware & Software,$1 to $5 million (USD)
"AirAsia
4.0",Kuala Lumpur,Business Analyst,"Job Description
Key Responsibilities
Manage flights/ routes for revenue maximization through effective inventory management and pricing
Actively track market trends, flight bookings and competitor actions to drive revenue performance.
Segment customers basis route and offer competitive products
Coordinate with other commercial teams including scheduling, sales, group desk and marketing to help maximize their route performance.
Plan revenue strategy for lean and peak seasons
Experience ·
1-3 years of experience in revenue management
Airline experience preferred but not a must
Bachelors degree/or equivalent experience in an analytical subject
Strong analytical and problem solving skills
Prior experience in Navitaire PSS with configuration understanding would be a strong advantage
We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position-specific.",-1,4,10000+ Employees,2001,Company - Private,Information Technology,Internet,Unknown / Non-Applicable
"Pop Meals (Farm to Fork Sdn Bhd)
4.2",Kuala Lumpur,Process Improvement Analyst (Manager),"Managing the analytics for day-to-day outlet operations and performance in Malaysia.
Manage daily data collection by analysts, insights and reporting across regions’ KPIs.
Support the General Manager with strategies and tactics to achieve KPIs and problem-solve with matters such as operating expenses, recruitment and manpower planning.
Help to optimize recruitment and onboarding across the funnel.
Work closely with the Outlet Operations and Tech team to support the development of tools & apps to automate/optimize processes.
Be involved with moonshot projects to enhance the outlet experience (e.g. expansion, Local Store Marketing strategy, building outlets of the future).
REQUIREMENT
4 to 8 years of working experience. Startup/F&B background will be advantageous.
Builder & hustler: you challenge existing ""best practices"" and build the new industry standard. On past projects you have demonstrated the ability to get your hands dirty and to be highly resourceful.
Problem-solver (analytical & data driven): you are great with people and equally great with numbers to help make business decisions (SQL will be a big bonus).
Biased to action + master in prioritizing: you always focus on tackling the biggest challenges first (both short & long term) without getting distracted with nice-to-haves.
Crystal clear communicator: both spoken and written (languages required: English & Malay).
Job Types: Full-time, Permanent
Salary: RM4,500.00 - RM7,000.00 per month
Benefits:
Health insurance
Maternity leave
Meal allowance
Opportunities for promotion
Parental leave
Professional development
Work from home
Schedule:
Monday to Friday",MYR 54K - MYR 84K (Employer est.),4.2,51 to 200 Employees,2015,Company - Private,"Restaurants, Bars & Food Services",Fast-Food & Quick-Service Restaurants,Unknown / Non-Applicable
"Finology Sdn Bhd
4.2",Kuala Lumpur,Business Analyst,"Finology, a FinTech & InsurTech company in Kuala Lumpur (Malaysia), is looking for Business Analysts (fresh graduates and experienced candidates) to join our fast-paced yet rigorous IT Delivery Team.
Do you enjoy solving problems that will serve thousands of people? Are you experimental yet pragmatic in problem solving? Do you consider yourself to be a strong communicator? If yes, this role might be for you!
What you'll be working on:
Collaborate with internal and external stakeholders to identify software requirements for both existing and new projects
Work with Software Engineers to turn software requirements into industry-standard software solutions
Manage various aspects of software development, ensuring quality and timely delivery of projects
Create and maintain relevant documentations
Perform internal Quality Assurance (QA) activities
Manage System Integration Test (SIT) and User Acceptance Test (UAT) activities with internal and external stakeholders
What we'd like to see in the candidate:
Analytical Thinking. You are able to break down complex problems into smaller parts, solve them, and bring them back together to form a holistic solution.
End Users x Business Objectives. You always keep the end users in mind but understand that different voices within the organization contribute to final outcomes.
Consistency x Flexibility. You are an organised person who enjoys creating and documenting processes. At the same time, you allow a certain degree of flexibility to ensure that objectives can be met in a timely manner.
Industry Experience. Professional experience in banking and/or insurance is a plus point.
Apply Now
Are you up for the challenge?
Interested applicants are invited to drop their resume at: https://forms.gle/6SVHxyty2z4CLfgA6
Only shortlisted candidates will be notified.
Job Type: Full-time
Salary: RM3,500.00 - RM4,800.00 per month
Schedule:
Monday to Friday",MYR 42K - MYR 58K (Employer est.),4.2,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Standard Chartered
3.9",Kuala Lumpur,Business Analyst,"Job: Technology
Primary Location: Asia-Malaysia-Bukit Jalil KL
Schedule: Full-time
Employee Status: Permanent
Posting Date: 15/Mar/2022, 9:43:52 PM
Unposting Date: Ongoing

About Standard Chartered
We're an international bank, nimble enough to act, big enough for impact. For more than 160 years, we've worked to make a positive difference for our clients, communities, and each other. We question the status quo, love a challenge and enjoy finding new opportunities to grow and do better than before. If you're looking for a career with purpose and you want to work for a bank making a difference, we want to hear from you. You can count on us to celebrate your unique talents. And we can't wait to see the talents you can bring us.

Our purpose, to drive commerce and prosperity through our unique diversity, together with our brand promise, to be here for good are achieved by how we each live our valued behaviours. When you work with us, you'll see how we value difference and advocate inclusion. Together we:
Do the right thing and are assertive, challenge one another, and live with integrity, while putting the client at the heart of what we do


Never settle, continuously striving to improve and innovate, keeping things simple and learning from doing well, and not so well


Be better together, we can be ourselves, be inclusive, see more good in others, and work collectively to build for the long term
In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing.
Core bank funding for retirement savings, medical and life insurance, with flexible and voluntary benefits available in some locations


Time-off including annual, parental/maternity (20 weeks), sabbatical (12 weeks maximum) and volunteering leave (3 days), along with with minimum global standards for annual and public holiday, which is combined to 30 days minimum


Flexible working options based around home and office locations, with flexible working patterns


Proactive wellbeing support through Unmind, a market-leading digital wellbeing platform, development courses for resilience and other human skills, global Employee Assistance Programme, sick leave, mental health first-aiders and all sorts of self-help toolkits


A continuous learning culture to support your growth, with opportunities to reskill and upskill and access to physical, virtual and digital learning


Being part of an inclusive and values driven organisation, one that embraces and celebrates our unique diversity, across our teams, business functions and geographies - everyone feels respected and can realise their full potential.
Recruitment assessments - some of our roles use assessments to help us understand how suitable you are for the role you've applied to. If you are invited to take an assessment, this is great news. It means your application has progressed to an important stage of our recruitment process.

Role Responsibilities
Overview:
ICS TRP is a critical portfolio Standard Chartered Bank operating under the overall purview of “Trust, Data & Resilience” in the COO organisation. The ICS TRP is made up of Programme Managers, Project Managers, Business Analysts, Architects, Engineers and Testers, who are accountable designing and delivering cyber security capabilities to maintain and continuously improve Bank’s cyber security posture in today’s ever-evolving cyber security landscape. While the overall ICS TRP Portfolio is transitioning into the New Ways of Working [NWoW], this specific role will be built from the outset in that context and apply all the principles/concepts/terminology specified in the NWoW.
Scope of Role:
The Security Business Analyst will be an interface between technology teams, support teams, and business partners to identify and define solutions to maximize the value delivered by an organization to its stakeholders. Business Analysts work across all levels of an organization and participate in defining the goals and requirements for programs and projects or supporting continuous improvement in its technology and processes.
Determines the overall requirements gathering strategy and plans the requirements phase of the project – produce the Solution Design Document.
Acts as the liaison among the stakeholders to elicit, analyze, document, communicate and validate business and system requirements using industry leading practices within the business analyst profession. Ensures all requirements are fulfilled and facilitated by the sprint goals of the agile teams. Produce/Reviews the Solution Design Document and any other project related artefacts that aligns with the Squads standards, NWoW requirements and any other activities that supports agile delivery.
Key Stakeholders
ICS-TRP
Cyber Security Services
Security Technology Services
Chief Information Security Office
Key Business Stakeholders including: All Business and Function

Other Responsibilities
Support the Agile team to ensure delivery of Project Objectives and Security Team governance, risk and compliance objectives
Single point of contact for planning and drive the operations readiness to adopt the new solutions/deliverables and assessment activities
Experienced in managing Infrastructure, Security tools & business process requirements
Produce and obtain signoffs for all the required project documentation to comply with the Banks requirements.
Experience with Business Operations and Process documentation and requirements gathering
Experience working both independently and a team oriented, collaborative environment
Track multiple potential deficiencies as identified in assessments until resolution is sufficiently demonstrated
Successfully engage in multiple security governance adherence initiatives simultaneously
Perform subject matter expert role for audit and compliance requirements of the project.
Develop and deliver progress and remediation reports and presentations as directed by Security Team leadership
Promote a risk-aware culture, ensure efficient and effective risk and security management practices by adhering to required standards and processes
Ability to work in a fast-paced, team-oriented environment. - A strong & assertive communicator in speaking & writing.
Recognize complex problems, analyze situations and provide suggested/implemented resolution(s)
Ability to interact professionally with a diverse group including executives, managers and subject matter experts
Ability to apply critical thinking to control and business risk interpretations on behalf of the Cyber Security Team and clearly articulate
Our Ideal Candidate
SCRUM, AGILE, Industry recognized audit and assessment certification is preferred (e.g. CISA, CRISC, QSA, etc.) and Business Analysts certification.
Industry recognized network or cyber security certification is preferred (e.g. CISSP, CISM, SANS, etc.)
ROLE SPECIFIC TECHNICAL COMPETENCIES
Proficiency in the MS Office suite, including Excel, PowerPoint, Word
Proficiency with MS Project or equivalent
Proficiency with Business Process Model and Notation (BPMN) 2.0
Proficiency with documented business processes
Familiarity with IT Infrastructure Library (ITIL) processes
Visit our careers website www.sc.com/careers",-1,3.9,10000+ Employees,1969,Company - Public,Finance,Investment Banking & Asset Management,$10 to $25 million (USD)
"Shopee
3.9",Kuala Lumpur,Business Intelligence - Price Check Analyst,"DepartmentData Analytics
LevelEntry Level
LocationMalaysia - Kuala Lumpur
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
About the Team:
The Business Intelligence team in Shopee is the custodian of data and connects Shopee's business development, marketing and operations teams. We support various departments on performance reporting, dashboarding and in depth analyses to provide key business insights.
Job Description:
Conduct daily price check to compare prices between items sold in Shopee and same items sold on other e-commerce platform
Build SKU banks by identifying lowest prices in various e-commerce platform and recording them accurately
Other ad hoc projects as needed
Requirements:
Diploma or Bachelor's graduate from a reputable university
Detailed oriented, be able to point out mistakes and be willing to voice them out
Fresh grads are encouraged to apply
Basic Microsoft excel is preferred",-1,3.9,5001 to 10000 Employees,2015,Company - Private,Information Technology,Internet,Unknown / Non-Applicable
"Shopee
3.9",Kuala Lumpur,Business Intelligence - Data Analyst,"DepartmentData Analytics
LevelEntry Level
LocationMalaysia - Kuala Lumpur
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
About the Team:
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
Job Description:
Establish processes to collect and analyse internal and relevant external data to derive value added observations and insights
Manage and work extensively with large amount of data and providing data-driven insights to support the business teams in executing strategic planning, drive improvements and make sound business decisions
Be the oracle that can spot dangers and pitfalls down the road by monitoring and analysing trends, and taking a critical view of existing business strategy
Setup, maintain and automate reports, dashboards and various business processes required by different stakeholders and the company
Establish processes to identify and keep track of appropriate indicators to monitor performance and progress
Work and collaborate with internal stakeholders to identify and define problem statements and pain points, gather requirements, prioritize and implement sustainable solutions that will meet business needs

Requirements:
Degree in Data Analytics, Information Technology, or any other similar courses
Fresh graduates or candidates with up to 2 years of working experience in data analysis field
Proficiency in Google Sheets / Microsoft Excel and SQL (Structured Query Language) - preferably with at least 1 year of working experience handling medium-big data
Proficiency in Python / R / programming languages is an added advantage
Has experience in liaising and managing different business stakeholders to gather requirements effectively
A logical and systematic thinker with the ability to understand the holistic picture
Able to present ideas and solutions in a structured manner
Able to work and learn independently, and manage time effectively",-1,3.9,5001 to 10000 Employees,2015,Company - Private,Information Technology,Internet,Unknown / Non-Applicable
Cornerstone Infocomm Sdn Bhd,Pantai Valley,Business Analyst,"Work collaboratively with project team, vendor and stakeholders to support implementation of project.
PRIMARY RESPONSIBILITIES
- Prepare documentation of processes, workflows or business requirements.
- Participate in discussions to bridge the gaps between business and IT PMO & development team, you are the key person to articulate clearly the business requirements to the technical team and technical proposition to business context.
- Support Manager in performing gap analysis, test planning and deployment planning, and ensure the right implementation of IT solution to meet the business needs.
- Perform Functional Testing of systems before release to UAT for User Testing.
- Perform User Acceptance Test Planning & automated and manual testing.
- Assist to assess vendors in ensuring deliveries from vendors and developers meets standards and user requirements.
EDUCATION / TRAINING
Degree holder in Information Technology / Computer Science.
EXPERIENCE
- Minimum 3 years of relevant experience.
Contract length: 12 months
Job Types: Full-time, Contract
Salary: RM8,000.00 - RM12,000.00 per month
Benefits:
Work from home
Schedule:
Monday to Friday
Experience:
Business analysis: 3 years (Preferred)
Work Remotely:
Yes",MYR 96K - MYR 144K (Employer est.),-1,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
MUTIARA I-TECH SDN BHD,Malaysia,Business Analyst,"The Business Analystâ€™s primary roles is helping businesses implement technology solutions in a cost-effective way by determining the requirements of a project or program and communicating them clearly to stakeholders, facilitators and partners. â€¢ Understand customerâ€™s requirements including business workflows, functional and technical specifications â€¢ Gather, organise and analyze required information and database changes to implement customer's change requests â€¢ Prepare requirements, specifications document, business processes and recommendations. Create use case diagrams, screen mock-ups, acceptance test scenarios. â€¢ Understand and document system deficiencies identified by customers and recommend solutions â€¢ Develop, document and revise system design procedures, test procedures and quality standards â€¢ Work closely with solution designer and architects to ensure requirements are clear â€¢ Review test cases and coordinates between testers and users for UAT and FAT â€¢ Conduct user trainings; including preparation and consolidation of training materials â€¢ Conduct post-implementation studies and analysis of newly developed solution â€¢ Provide accurate and timely update on work status to Project Manager â€¢ Keep up-to-date technically and regulatory changes and apply new knowledge to preparation of business and specification documents
Our Company is one of the emerging leaders in Information Technology that provides range of comprehensive and integrated ICT products and services to our customers. Our Company offers a comprehensive line of software, hardware, network, consulting, training services and support, making it one of the leading resources for System Integrator and Customer Support Solution.
Bachelor's or Equivalent",MYR 60K - MYR 72K (Employer est.),-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
